City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
196,Thunder Bay,CA,48.4,-89.32,30.2,39,20,18.34,few clouds
197,Karabuk,TR,41.2,32.63,48.36,73,80,2.66,broken clouds
198,Nicoya,CR,10.15,-85.45,84.2,74,75,9.17,broken clouds
199,Gualeguay,AR,-33.14,-59.31,74.53,44,0,7.18,clear sky
200,Sabha,LY,27.04,14.43,65.75,47,0,7.85,clear sky
201,Izhma,RU,65.01,53.91,28.09,95,100,5.95,overcast clouds
202,Walvis Bay,NA,-22.96,14.51,55.99,82,7,4.7,clear sky
203,Cambridge,CA,43.36,-80.31,41.0,69,90,29.97,overcast clouds
204,Saint George,US,37.1,-113.58,72.0,15,1,3.53,clear sky
205,Constitucion,CL,-35.33,-72.42,60.46,70,62,8.21,broken clouds
206,Mogadishu,SO,2.04,45.34,80.04,79,100,11.41,light rain
207,Port Blair,IN,11.67,92.75,80.4,78,100,3.09,overcast clouds
208,Bubaque,GW,11.28,-15.83,84.06,74,0,14.09,clear sky
209,Kirkkonummi,FI,60.12,24.44,46.99,82,87,1.01,overcast clouds
210,Hamilton,US,39.18,-84.53,50.0,37,1,20.8,clear sky
211,Vvedenskoye,RU,55.48,65.08,26.13,98,20,5.08,few clouds
212,Cururupu,BR,-1.83,-44.87,87.78,55,5,7.09,clear sky
213,Constantine,DZ,36.37,6.61,59.0,62,0,1.12,clear sky
214,Namibe,AO,-15.2,12.15,73.45,70,98,5.32,overcast clouds
215,Oranjemund,NA,-28.55,16.43,64.56,61,0,14.97,clear sky
216,Zambezi,ZM,-13.54,23.1,76.64,30,31,3.49,scattered clouds
217,Sompeta,IN,18.93,84.6,79.2,72,0,3.04,clear sky
218,Pisco,PE,-13.7,-76.22,64.99,82,90,8.05,overcast clouds
219,Yar-Sale,RU,66.83,70.83,30.88,98,100,19.19,overcast clouds
220,Teguldet,RU,57.31,88.17,33.67,91,100,12.17,overcast clouds
221,Canutama,BR,-6.53,-64.38,90.99,50,96,3.74,overcast clouds
222,Gat,IL,31.61,34.76,75.0,68,100,6.38,overcast clouds
223,Raudeberg,NO,61.99,5.14,48.99,84,100,24.81,light rain
224,Muros,ES,42.78,-9.06,64.99,91,100,17.0,light rain
225,Umm Lajj,SA,25.02,37.27,80.46,63,88,7.96,overcast clouds
226,Victoria,HK,22.29,114.16,75.99,73,99,10.83,overcast clouds
227,Icatu,BR,-2.78,-44.07,87.8,66,40,14.99,scattered clouds
228,Tshikapa,CD,-6.42,20.8,74.7,86,100,1.05,moderate rain
229,Santa Maria,BR,-29.68,-53.81,75.2,44,75,14.99,broken clouds
230,Khudumelapye,BW,-23.88,24.75,72.79,59,100,15.3,moderate rain
231,Castro,BR,-24.79,-50.01,66.22,59,49,8.59,light rain
232,Ballitoville,ZA,-29.54,31.21,60.8,93,90,5.82,light rain
233,Jaciara,BR,-15.97,-54.97,86.95,49,9,7.25,clear sky
234,Klaksvik,FO,62.23,-6.59,44.6,93,99,6.93,light rain
235,Sinnamary,GF,5.38,-52.95,85.23,67,100,11.97,overcast clouds
236,Bansi,IN,27.18,82.93,70.57,38,0,5.95,clear sky
237,Vallenar,CL,-28.57,-70.76,82.9,15,0,10.45,clear sky
238,Japura,ID,-0.32,102.35,73.99,96,100,1.77,overcast clouds
239,Caravelas,BR,-17.71,-39.25,69.91,93,100,12.41,light rain
240,Gallneukirchen,AT,48.35,14.41,48.99,91,100,3.31,light rain
241,Gazalkent,UZ,41.56,69.77,46.4,33,100,6.93,smoke
242,San Ramon De La Nueva Oran,AR,-23.13,-64.33,91.0,22,0,6.71,clear sky
243,Mahibadhoo,MV,3.78,72.97,82.38,72,100,5.53,overcast clouds
244,Salalah,OM,17.02,54.09,78.8,69,0,4.7,clear sky
245,Nuuk,GL,64.18,-51.72,24.8,79,75,5.82,shower rain
246,Dmitriyevka,RU,54.75,55.33,35.01,86,90,8.95,overcast clouds
247,Macusani,PE,-14.08,-70.43,46.92,67,75,4.72,moderate rain
248,Riyadh,SA,24.69,46.72,69.8,35,0,3.36,clear sky
249,Port Hawkesbury,CA,45.62,-61.35,48.99,57,20,17.22,few clouds
250,Kolokani,ML,13.57,-8.03,83.21,20,80,6.29,broken clouds
251,Georgetown,MY,5.41,100.34,80.01,88,20,3.36,few clouds
252,Mocuba,MZ,-16.84,36.99,73.92,79,81,4.99,broken clouds
253,Belaya,UA,49.03,25.77,46.0,82,22,5.99,few clouds
254,Mana,GF,5.66,-53.78,85.8,66,100,12.97,overcast clouds
255,Okitipupa,NG,6.5,4.78,76.01,96,100,3.24,overcast clouds
